"line_name","specimen__id","specimen__name","specimen__hemisphere","structure__id","structure__name","structure__acronym","structure_parent__id","structure_parent__acronym","structure__layer","nr__max_euclidean_distance","nr__number_stems","nr__number_bifurcations","nr__average_contraction","nr__average_parent_daughter_ratio","nrwkf__id","erwkf__id","ef__upstroke_downstroke_ratio_long_square","ef__adaptation","ef__f_i_curve_slope","ef__threshold_i_long_square","ef__tau","ef__avg_isi","ef__avg_firing_rate","ef__ri","ef__peak_t_ramp","ef__vrest","si__height","si__width","si__path","csl__x","csl__y","csl__z","csl__normalized_depth","cell_reporter_status","m__glif","m__biophys_perisomatic","m__biophys_all_active","tag__apical","tag__dendrite_type","morph_thumb_path","ephys_thumb_path","ephys_inst_thresh_thumb_path","id"
"Sst-IRES-Cre","313862167","Sst-IRES-Cre;Ai14-167638.05.02.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","217.573052412614","5","19","0.929752904697578","0.759950777407634","501934127","491199184","1.66391321202221","0.00312046281185448","0.429166683726838","130","12.195658126476","30.7588333333333","32.5109860040206","181.874960049984","5.28011166666667","-79.6359859466553","5748","7583","/external/mousecelltypes/prod132/specimen_313862167/min_xy_313862167.aff","8651.82","1236.94","8883.04","0.307005","cre reporter positive","5","1","0","NA","aspiny","/api/v2/well_known_file_download/487660492","/api/v2/well_known_file_download/487629223","/api/v2/well_known_file_download/491382005","703"
"Sst-IRES-Cre","473564515","Sst-IRES-Cre;Ai14-182533.05.01.01","left","33","Primary visual area, layer 6a","VISp6a","385","VISp","6a","184.557994672185","5","16","0.904830056939034","0.78960683645155","491770888","496281385","1.62474287495705","","0.372685404204097","190","12.8486519202937","","","143.124965825676","9.705195","-71.6166118275035","5765","7592","/external/mousecelltypes/prod344/specimen_473564515/min_xy_473564515.aff","7989.37","1369.34","2993.68","0.784485","cre reporter positive","2","1","0","NA","aspiny","/api/v2/well_known_file_download/487661512","/api/v2/well_known_file_download/487635348","/api/v2/well_known_file_download/491376883","745"
"Sst-IRES-Cre","324493977","Sst-IRES-Cre;Ai14-173196.03.01.01","right","821","Primary visual area, layer 2/3","VISp2/3","385","VISp","2/3","156.781378353698","6","29","0.90508576144363","0.841301021515558","491770225","491200145","1.52580107637789","0.00444071360292892","0.338718768196161","119.999992370605","19.8393262383358","44.7261904761905","22.3582645727974","185.937498220802","4.80212166666667","-71.8152077414773","5759","7604","/external/mousecelltypes/prod198/specimen_324493977/min_xy_324493977.aff","8886.22","920.181","8408.74","0.207369","cre reporter positive","5","1","1","NA","aspiny","/api/v2/well_known_file_download/487660947","/api/v2/well_known_file_download/487635281","/api/v2/well_known_file_download/491377868","722"
"Ntsr1-Cre_GN220","488674910","Ntsr1-Cre;Ai14-212354.03.02.01","right","33","Primary visual area, layer 6a","VISp6a","385","VISp","6a","273.891087090146","4","16","0.921433796391654","0.649625391789133","496164015","496277115","1.51856031366208","0.0255498425354842","0.494713463876297","190","16.1794234918999","26.229","38.125738686187","159.843713325264","6.97824666666667","-72.7235496274887","7588","5749","/external/mousecelltypes/prod544/specimen_488674910/min_xy_488674910.aff","8982.18","1156.04","7720.84","0.679544","cre reporter negative","2","1","0","NA","aspiny","/api/v2/well_known_file_download/496357019","/api/v2/well_known_file_download/488675792","/api/v2/well_known_file_download/491378244","241"
"Scnn1a-Tg2-Cre","478888083","Scnn1a-Tg2-Cre;Ai14-193643.04.01.01","left","721","Primary visual area, layer 4","VISp4","385","VISp","4","247.975248784017","5","14","0.933899229027931","0.743584515881949","491770925","491317465","1.51466265600376","0.0254130689198627","0.391661220181668","70","19.7630276971426","59.215625","16.8874346931236","205.156214019656","3.50823333333333","-70.4922855377197","5739","5745","/external/mousecelltypes/prod417/specimen_478888083/min_xy_478888083.aff","8708.12","821.997","3272.54","0.263508","cre reporter negative","2","1","0","NA","aspiny","/api/v2/well_known_file_download/489405199","/api/v2/well_known_file_download/487629023","/api/v2/well_known_file_download/491381772","628"
"Gad2-IRES-Cre","396968721","Gad2-IRES-Cre;Ai14-177637.02.02.01","right","778","Primary visual area, layer 5","VISp5","385","VISp","5","316.497757111783","6","17","0.90793732880551","0.718038615108227","491771126","491202591","1.48711508335878","0.032307528785755","0.518964121931481","50","33.8500526923539","36.1164285714286","27.6882305242964","340.781361390649","2.2114825","-71.4142773276881","5749","7583","/external/mousecelltypes/prod281/specimen_396968721/min_xy_396968721.aff","8912.91","1382.94","8249.75","0.697862","cre reporter positive","2","1","0","NA","aspiny","/api/v2/well_known_file_download/487660920","/api/v2/well_known_file_download/487609880","/api/v2/well_known_file_download/491382179","64"
"Pvalb-IRES-Cre","469801569","Pvalb-IRES-Cre;Ai14-172096.04.02.01","left","778","Primary visual area, layer 5","VISp5","385","VISp","5","266.888040514283","7","21","0.853436530434652","0.745602105039509","491119734","491200164","1.44997064456577","0.00276072689743088","0.865469904963041","300","12.8322298831725","14.364347826087","69.616804891337","98.4374906122693","13.0582633333333","-75.5985448736893","7617","7596","/external/mousecelltypes/prod132/specimen_469801569/min_xy_321620517.aff","8600.02","999.919","3381.58","0.494541","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/487660646","/api/v2/well_known_file_download/487618584","/api/v2/well_known_file_download/491381295","302"
"Pvalb-IRES-Cre","478058328","Pvalb-IRES-Cre;Ai14-191322.04.02.01","right","33","Primary visual area, layer 6a","VISp6a","385","VISp","6a","285.762408184975","9","16","0.919002824465932","0.748217511920423","491119271","491200715","1.42733125561705","0.000193017837670898","0.743581855297629","140","6.34835670891477","21.4793333333333","46.5563797759087","126.093827581406","6.943235","-70.5698904222058","5754","5731","/external/mousecelltypes/prod396/specimen_478058328/min_xy_478058328.aff","8826.86","1377.85","8102.2","0.786939","cre reporter positive","5","1","1","NA","aspiny","/api/v2/well_known_file_download/487661934","/api/v2/well_known_file_download/487623310","/api/v2/well_known_file_download/491378518","319"
"Pvalb-IRES-Cre","313861608","Pvalb-IRES-Cre;Ai14-165874.04.02.01","right","565","posteromedial visual area, layer 5","VISpm5","533","VISpm","5","297.333592517016","7","26","0.912688145072088","0.747326921512217","491119572","491200054","1.40570901300869","0.0472376080557392","1.40631492618917","290","22.1612151232932","11.16875","89.5355344152211","81.2499991804356","15.58363","-74.6396752719221","5738","5744","/external/mousecelltypes/prod132/specimen_313861608/min_xy_313861608.aff","8295.7","820.737","7313.64","0.572511","cre reporter positive","2","1","0","NA","aspiny","/api/v2/well_known_file_download/487660673","/api/v2/well_known_file_download/487621552","/api/v2/well_known_file_download/491378755","261"
"Pvalb-IRES-Cre","478793814","Pvalb-IRES-Cre;Ai14-195045.05.02.01","right","778","Primary visual area, layer 5","VISp5","385","VISp","5","164.509916016366","5","11","0.896336430225751","0.813772813412789","491119690","491200804","1.39366292813938","0.00319815885478168","0.733152118376677","310","7.27225323574248","17.3557142857143","57.6179109391719","67.1876907348636","10.8726633333333","-78.4478462620785","7583","7581","/external/mousecelltypes/prod416/specimen_478793814/min_xy_478793814.aff","8342.73","1338.16","8856.12","0.460242","cre reporter positive","5","1","0","NA","aspiny","/api/v2/well_known_file_download/489405404","/api/v2/well_known_file_download/487638048","/api/v2/well_known_file_download/491378767","320"
